Text Inputs : Specimen label,"22L.3"
General : Start Date,13/11/2018 5:14 PM

Time,Extension,Load,Segment ID,Total Cycle Count
(sec),(mm),(N),,
81.70000,-8.43566,-21.13171,22412,0
81.72000,-8.43230,-21.12537,22412,0
81.74000,-8.42896,-21.04470,22412,0
81.75999,-8.42561,-21.01757,22412,0
81.78000,-8.42225,-21.02259,22412,0
81.79999,-8.41888,-21.00857,22412,0
81.82000,-8.41553,-20.94563,22412,0
81.84000,-8.41220,-20.93106,22412,0
81.86000,-8.40887,-20.89984,22412,0
81.88000,-8.40554,-20.91878,22412,0
81.90000,-8.40221,-20.85749,22412,0
81.92000,-8.39889,-20.84353,22412,0
81.93999,-8.39556,-20.84084,22412,0
81.96000,-8.39223,-20.82644,22412,0
81.97999,-8.38889,-20.80978,22412,0
82.00000,-8.38553,-20.77847,22412,0
82.02000,-8.38217,-20.73510,22412,0
82.04000,-8.37881,-20.73065,22412,0
82.06000,-8.37549,-20.79394,22412,0
82.07999,-8.37216,-20.79736,22412,0
82.10000,-8.36883,-20.75036,22412,0
82.11999,-8.36550,-20.73939,22412,0
82.14000,-8.36218,-20.74067,22412,0
82.15999,-8.35887,-20.72159,22412,0
82.18000,-8.35556,-20.69321,22412,0
82.20000,-8.35224,-20.63748,22412,0
82.22000,-8.34893,-20.65196,22412,0
82.24000,-8.34562,-20.68666,22412,0
82.25999,-8.34228,-20.66569,22412,0
82.28000,-8.33892,-20.65220,22412,0
82.29999,-8.33555,-20.60474,22412,0
82.32000,-8.33221,-20.57858,22412,0
82.34000,-8.32890,-20.55692,22412,0
82.36000,-8.32561,-20.58852,22412,0
82.38000,-8.32229,-20.55658,22412,0
82.40000,-8.31896,-20.51659,22412,0
82.42000,-8.31564,-20.52032,22412,0
82.43999,-8.31231,-20.50527,22412,0
82.46000,-8.30898,-20.49333,22412,0
82.47999,-8.30565,-20.47642,22412,0
82.50000,-8.30230,-20.43544,22412,0
82.52000,-8.29894,-20.48775,22412,0
82.54000,-8.29558,-20.46577,22412,0
82.56000,-8.29222,-20.40044,22412,0
82.57999,-8.28886,-20.37934,22412,0
82.60000,-8.28550,-20.43867,22412,0
82.61999,-8.28218,-20.42390,22412,0
82.64000,-8.27890,-20.35754,22412,0
82.65999,-8.27561,-20.33722,22412,0
82.68000,-8.27229,-20.33766,22412,0
82.70000,-8.26890,-20.34487,22412,0
82.72000,-8.26553,-20.35608,22412,0
82.74000,-8.26219,-20.30819,22412,0
82.75999,-8.25886,-20.29587,22412,0
82.78000,-8.25553,-20.31348,22412,0
82.79999,-8.25219,-20.29014,22412,0
82.82000,-8.24884,-20.27531,22412,0
82.84000,-8.24551,-20.24720,22412,0
82.86000,-8.24219,-20.23191,22412,0
82.88000,-8.23890,-20.19317,22412,0
82.90000,-8.23557,-20.23743,22412,0
82.92000,-8.23225,-20.22935,22412,0
82.93999,-8.22894,-20.19098,22412,0
82.96000,-8.22564,-20.18106,22412,0
82.97999,-8.22235,-20.10049,22412,0
83.00000,-8.21903,-20.11359,22412,0
83.02000,-8.21570,-20.12610,22412,0
83.04000,-8.21237,-20.08110,22412,0
83.06000,-8.20905,-20.05626,22412,0
83.07999,-8.20572,-20.07678,22412,0
83.10000,-8.20236,-20.04850,22412,0
83.11999,-8.19899,-20.00759,22412,0
83.14000,-8.19566,-20.00501,22412,0
83.15999,-8.19235,-19.99249,22412,0
83.18000,-8.18904,-19.99342,22412,0
83.20000,-8.18570,-20.02708,22412,0
83.22000,-8.18235,-19.96252,22412,0
